"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55282","Receive Sample Partitions For Terpenes Profile","Terpenes - Profile","Tue Oct 21 03:23:10 UTC 2025","failed","Tue Oct 21 03:24:06 UTC 2025","","","",""
"","55302","Set up instruments for Terpenes worksheet","Terpenes - Profile","Tue Oct 21 03:26:51 UTC 2025","failed","Tue Oct 21 03:27:47 UTC 2025","","","",""
"","55280","Start Preparation for Cannabinoids worksheet","Cannabinoids - Profile","Tue Oct 21 03:17:37 UTC 2025","failed","Tue Oct 21 03:18:32 UTC 2025","","","",""
"","55254","Receive Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Tue Oct 21 03:13:00 UTC 2025","failed","Tue Oct 21 03:13:56 UTC 2025","","","",""
"","55275","Accession Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Tue Oct 21 03:34:15 UTC 2025","failed","Tue Oct 21 03:35:11 UTC 2025","","","",""
"","55256","Publish Terpenes results","Terpenes - Profile","Tue Oct 21 03:30:33 UTC 2025","failed","Tue Oct 21 03:31:28 UTC 2025","","","",""
"","55302","Set up instruments for Cannabinoids worksheet","Cannabinoids - Profile","Tue Oct 21 03:16:41 UTC 2025","failed","Tue Oct 21 03:17:37 UTC 2025","","","",""
"","55268","Accession Sample Partitions For Moisture Profile","Moisture - Profile","Tue Oct 21 03:44:25 UTC 2025","failed","Tue Oct 21 03:45:20 UTC 2025","","","",""
"","55293","Set Up Worksheet For Terpenes Sample","Terpenes - Profile","Tue Oct 21 03:25:01 UTC 2025","failed","Tue Oct 21 03:25:56 UTC 2025","","","",""
"","55270","Import Results for Residual Solvents worksheet","Residual Solvents - Profile","Tue Oct 21 03:38:52 UTC 2025","failed","Tue Oct 21 03:39:47 UTC 2025","","","",""
"","55267","Accession Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Tue Oct 21 03:13:56 UTC 2025","failed","Tue Oct 21 03:14:51 UTC 2025","","","",""
"","55277","Order Creation For Test Customer","Terpenes - Profile","Tue Oct 21 03:21:20 UTC 2025","failed","Tue Oct 21 03:22:15 UTC 2025","","","",""
"","55267","Sample Creation For Terpenes Profile","Terpenes - Profile","Tue Oct 21 03:22:15 UTC 2025","failed","Tue Oct 21 03:23:10 UTC 2025","","","",""
"","55266","Start Preparation for Residual Solvents worksheet","Residual Solvents - Profile","Tue Oct 21 03:37:56 UTC 2025","failed","Tue Oct 21 03:38:52 UTC 2025","","","",""
"","55266","Start Preparation for Moisture worksheet","Moisture - Profile","Tue Oct 21 03:47:11 UTC 2025","failed","Tue Oct 21 03:48:06 UTC 2025","","","",""
"","55393","Order Creation For Test Customer","Cannabinoids - Profile","Tue Oct 21 03:11:10 UTC 2025","failed","Tue Oct 21 03:12:05 UTC 2025","","","",""
"","55246","Sample Creation For Cannabinoids Profile","Cannabinoids - Profile","Tue Oct 21 03:12:05 UTC 2025","failed","Tue Oct 21 03:13:00 UTC 2025","","","",""
"","55308","Verify Results in Residual Solvents worksheet","Residual Solvents - Profile","Tue Oct 21 03:39:47 UTC 2025","failed","Tue Oct 21 03:40:42 UTC 2025","","","",""
"","55285","Set Up Worksheet For Cannabinoids Sample","Cannabinoids - Profile","Tue Oct 21 03:14:51 UTC 2025","failed","Tue Oct 21 03:15:46 UTC 2025","","","",""
"","55289","Sample Creation For Moisture Profile","Moisture - Profile","Tue Oct 21 03:42:34 UTC 2025","failed","Tue Oct 21 03:43:30 UTC 2025","","","",""
"","55332","Verify Results in Terpenes worksheet","Terpenes - Profile","Tue Oct 21 03:29:37 UTC 2025","failed","Tue Oct 21 03:30:33 UTC 2025","","","",""
"","55276","Set up materials for Cannabinoids worksheet","Cannabinoids - Profile","Tue Oct 21 03:15:46 UTC 2025","failed","Tue Oct 21 03:16:41 UTC 2025","","","",""
"","55307","Set Up Worksheet For Residual Solvents Sample","Residual Solvents - Profile","Tue Oct 21 03:35:11 UTC 2025","failed","Tue Oct 21 03:36:06 UTC 2025","","","",""
"","55262","Verify Results in Cannabinoids worksheet","Cannabinoids - Profile","Tue Oct 21 03:19:27 UTC 2025","failed","Tue Oct 21 03:20:23 UTC 2025","","","",""
"","55283","Set up materials for Terpenes worksheet","Terpenes - Profile","Tue Oct 21 03:25:56 UTC 2025","failed","Tue Oct 21 03:26:51 UTC 2025","","","",""
"","55300","Order Creation For Test Customer","Moisture - Profile","Tue Oct 21 03:41:39 UTC 2025","failed","Tue Oct 21 03:42:34 UTC 2025","","","",""
"","55264","Receive Sample Partitions For Moisture Profile","Moisture - Profile","Tue Oct 21 03:43:30 UTC 2025","failed","Tue Oct 21 03:44:25 UTC 2025","","","",""
"","55263","Set up instruments for Residual Solvents worksheet","Residual Solvents - Profile","Tue Oct 21 03:37:01 UTC 2025","failed","Tue Oct 21 03:37:56 UTC 2025","","","",""
"","55274","Sample Creation For Residual Solvents Profile","Residual Solvents - Profile","Tue Oct 21 03:32:25 UTC 2025","failed","Tue Oct 21 03:33:20 UTC 2025","","","",""
"","55281","Receive Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Tue Oct 21 03:33:20 UTC 2025","failed","Tue Oct 21 03:34:15 UTC 2025","","","",""
"","55331","Set up instruments for Moisture worksheet","Moisture - Profile","Tue Oct 21 03:46:16 UTC 2025","failed","Tue Oct 21 03:47:11 UTC 2025","","","",""
"","55296","Start Preparation for Terpenes worksheet","Terpenes - Profile","Tue Oct 21 03:27:47 UTC 2025","failed","Tue Oct 21 03:28:42 UTC 2025","","","",""
"","55296","Set up materials for Residual Solvents worksheet","Residual Solvents - Profile","Tue Oct 21 03:36:06 UTC 2025","failed","Tue Oct 21 03:37:01 UTC 2025","","","",""
"","55277","Publish Residual Solvents results","Residual Solvents - Profile","Tue Oct 21 03:40:42 UTC 2025","failed","Tue Oct 21 03:41:38 UTC 2025","","","",""
"","55293","Set Up Worksheet For Moisture Sample","Moisture - Profile","Tue Oct 21 03:45:20 UTC 2025","failed","Tue Oct 21 03:46:16 UTC 2025","","","",""
"","55273","Publish Moisture results","Moisture - Profile","Tue Oct 21 03:49:57 UTC 2025","failed","Tue Oct 21 03:50:52 UTC 2025","","","",""
"","55262","Import Results for Terpenes worksheet","Terpenes - Profile","Tue Oct 21 03:28:42 UTC 2025","failed","Tue Oct 21 03:29:37 UTC 2025","","","",""
"","55292","Order Creation For Test Customer","Residual Solvents - Profile","Tue Oct 21 03:31:29 UTC 2025","failed","Tue Oct 21 03:32:25 UTC 2025","","","",""
"","55282","Accession Sample Partitions For Terpenes Profile","Terpenes - Profile","Tue Oct 21 03:24:06 UTC 2025","failed","Tue Oct 21 03:25:01 UTC 2025","","","",""
"","55299","Import Results for Moisture worksheet","Moisture - Profile","Tue Oct 21 03:48:06 UTC 2025","failed","Tue Oct 21 03:49:01 UTC 2025","","","",""
"","55311","Import Results for Cannabinoids worksheet","Cannabinoids - Profile","Tue Oct 21 03:18:32 UTC 2025","failed","Tue Oct 21 03:19:27 UTC 2025","","","",""
"","55316","Verify Results in Moisture worksheet","Moisture - Profile","Tue Oct 21 03:49:01 UTC 2025","failed","Tue Oct 21 03:49:57 UTC 2025","","","",""
"","55291","Publish Cannabinoids results","Cannabinoids - Profile","Tue Oct 21 03:20:23 UTC 2025","failed","Tue Oct 21 03:21:18 UTC 2025","","","",""
