"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55283","Start Preparation for Residual Solvents worksheet","Residual Solvents - Profile","Tue Oct 07 23:22:47 UTC 2025","failed","Tue Oct 07 23:23:42 UTC 2025","","","",""
"","55274","Publish Terpenes results","Terpenes - Profile","Tue Oct 07 23:15:23 UTC 2025","failed","Tue Oct 07 23:16:18 UTC 2025","","","",""
"","55283","Sample Creation For Cannabinoids Profile","Cannabinoids - Profile","Tue Oct 07 22:56:55 UTC 2025","failed","Tue Oct 07 22:57:51 UTC 2025","","","",""
"","55238","Publish Residual Solvents results","Residual Solvents - Profile","Tue Oct 07 23:25:32 UTC 2025","failed","Tue Oct 07 23:26:28 UTC 2025","","","",""
"","55296","Set up instruments for Cannabinoids worksheet","Cannabinoids - Profile","Tue Oct 07 23:01:32 UTC 2025","failed","Tue Oct 07 23:02:27 UTC 2025","","","",""
"","55285","Sample Creation For Moisture Profile","Moisture - Profile","Tue Oct 07 23:27:25 UTC 2025","failed","Tue Oct 07 23:28:20 UTC 2025","","","",""
"","55284","Set Up Worksheet For Moisture Sample","Moisture - Profile","Tue Oct 07 23:30:10 UTC 2025","failed","Tue Oct 07 23:31:06 UTC 2025","","","",""
"","55297","Accession Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Tue Oct 07 22:58:46 UTC 2025","failed","Tue Oct 07 22:59:41 UTC 2025","","","",""
"","55277","Order Creation For Test Customer","Terpenes - Profile","Tue Oct 07 23:06:10 UTC 2025","failed","Tue Oct 07 23:07:05 UTC 2025","","","",""
"","55320","Verify Results in Residual Solvents worksheet","Residual Solvents - Profile","Tue Oct 07 23:24:37 UTC 2025","failed","Tue Oct 07 23:25:32 UTC 2025","","","",""
"","55269","Sample Creation For Terpenes Profile","Terpenes - Profile","Tue Oct 07 23:07:05 UTC 2025","failed","Tue Oct 07 23:08:01 UTC 2025","","","",""
"","55266","Start Preparation for Cannabinoids worksheet","Cannabinoids - Profile","Tue Oct 07 23:02:27 UTC 2025","failed","Tue Oct 07 23:03:22 UTC 2025","","","",""
"","55285","Start Preparation for Terpenes worksheet","Terpenes - Profile","Tue Oct 07 23:12:37 UTC 2025","failed","Tue Oct 07 23:13:32 UTC 2025","","","",""
"","55288","Set up instruments for Residual Solvents worksheet","Residual Solvents - Profile","Tue Oct 07 23:21:51 UTC 2025","failed","Tue Oct 07 23:22:47 UTC 2025","","","",""
"","55282","Import Results for Cannabinoids worksheet","Cannabinoids - Profile","Tue Oct 07 23:03:22 UTC 2025","failed","Tue Oct 07 23:04:17 UTC 2025","","","",""
