"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22963","Receive Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Thu Jul 24 20:27:04 GMT 2025","passed","Thu Jul 24 20:27:27 GMT 2025","","","",""
"","28477","Set up materials for Cannabinoids worksheet","Cannabinoids - Profile","Thu Jul 24 20:17:05 GMT 2025","passed","Thu Jul 24 20:17:34 GMT 2025","","","",""
"","32026","Set up instruments for Residual Solvents worksheet","Residual Solvents - Profile","Thu Jul 24 20:28:56 GMT 2025","passed","Thu Jul 24 20:29:28 GMT 2025","","","",""
"","23471","Accession Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Thu Jul 24 20:27:27 GMT 2025","passed","Thu Jul 24 20:27:51 GMT 2025","","","",""
"","25754","Import Results for Moisture worksheet","Moisture - Profile","Thu Jul 24 20:34:42 GMT 2025","passed","Thu Jul 24 20:35:08 GMT 2025","","","",""
"","32310","Set up instruments for Terpenes worksheet","Terpenes - Profile","Thu Jul 24 20:22:59 GMT 2025","passed","Thu Jul 24 20:23:31 GMT 2025","","","",""
"","35489","Publish Residual Solvents results","Residual Solvents - Profile","Thu Jul 24 20:30:42 GMT 2025","passed","Thu Jul 24 20:31:17 GMT 2025","","","",""
"","24409","Verify Results in Moisture worksheet","Moisture - Profile","Thu Jul 24 20:35:08 GMT 2025","passed","Thu Jul 24 20:35:32 GMT 2025","","","",""
"","24565","Verify Results in Residual Solvents worksheet","Residual Solvents - Profile","Thu Jul 24 20:30:17 GMT 2025","passed","Thu Jul 24 20:30:42 GMT 2025","","","",""
"","39945","Sample Creation For Moisture Profile","Moisture - Profile","Thu Jul 24 20:31:43 GMT 2025","passed","Thu Jul 24 20:32:23 GMT 2025","","","",""
"","38923","Publish Cannabinoids results","Cannabinoids - Profile","Thu Jul 24 20:19:22 GMT 2025","passed","Thu Jul 24 20:20:01 GMT 2025","","","",""
"","23258","Accession Sample Partitions For Moisture Profile","Moisture - Profile","Thu Jul 24 20:32:46 GMT 2025","passed","Thu Jul 24 20:33:10 GMT 2025","","","",""
"","32098","Set up instruments for Moisture worksheet","Moisture - Profile","Thu Jul 24 20:33:46 GMT 2025","passed","Thu Jul 24 20:34:19 GMT 2025","","","",""
"","36859","Set Up Worksheet For Residual Solvents Sample","Residual Solvents - Profile","Thu Jul 24 20:27:51 GMT 2025","passed","Thu Jul 24 20:28:27 GMT 2025","","","",""
"","32625","Set up instruments for Cannabinoids worksheet","Cannabinoids - Profile","Thu Jul 24 20:17:34 GMT 2025","passed","Thu Jul 24 20:18:06 GMT 2025","","","",""
"","23282","Receive Sample Partitions For Terpenes Profile","Terpenes - Profile","Thu Jul 24 20:21:07 GMT 2025","passed","Thu Jul 24 20:21:31 GMT 2025","","","",""
"","24386","Order Creation For Test Customer","Moisture - Profile","Thu Jul 24 20:31:19 GMT 2025","passed","Thu Jul 24 20:31:43 GMT 2025","","","",""
"","36783","Set Up Worksheet For Moisture Sample","Moisture - Profile","Thu Jul 24 20:33:10 GMT 2025","passed","Thu Jul 24 20:33:46 GMT 2025","","","",""
"","32961","Order Creation For Test Customer","Cannabinoids - Profile","Thu Jul 24 20:14:28 GMT 2025","passed","Thu Jul 24 20:15:01 GMT 2025","","","",""
"","72916","Publish Terpenes results","Terpenes - Profile","Thu Jul 24 20:24:45 GMT 2025","passed","Thu Jul 24 20:25:58 GMT 2025","","","",""
"","35377","Publish Moisture results","Moisture - Profile","Thu Jul 24 20:35:32 GMT 2025","passed","Thu Jul 24 20:36:07 GMT 2025","","","",""
"","25772","Import Results for Residual Solvents worksheet","Residual Solvents - Profile","Thu Jul 24 20:29:51 GMT 2025","passed","Thu Jul 24 20:30:17 GMT 2025","","","",""
"","24492","Order Creation For Test Customer","Terpenes - Profile","Thu Jul 24 20:20:03 GMT 2025","passed","Thu Jul 24 20:20:28 GMT 2025","","","",""
"","23865","Accession Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Thu Jul 24 20:16:04 GMT 2025","passed","Thu Jul 24 20:16:28 GMT 2025","","","",""
"","26131","Import Results for Terpenes worksheet","Terpenes - Profile","Thu Jul 24 20:23:55 GMT 2025","passed","Thu Jul 24 20:24:21 GMT 2025","","","",""
"","28257","Import Results for Cannabinoids worksheet","Cannabinoids - Profile","Thu Jul 24 20:18:30 GMT 2025","passed","Thu Jul 24 20:18:58 GMT 2025","","","",""
