"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32350","Set up instruments for Cannabinoids worksheet","Cannabinoids - Profile","Tue Jul 22 21:14:01 GMT 2025","passed","Tue Jul 22 21:14:33 GMT 2025","","","",""
"","24557","Order Creation For Test Customer","Terpenes - Profile","Tue Jul 22 21:16:26 GMT 2025","passed","Tue Jul 22 21:16:50 GMT 2025","","","",""
"","24147","Verify Results in Moisture worksheet","Moisture - Profile","Tue Jul 22 21:30:56 GMT 2025","passed","Tue Jul 22 21:31:20 GMT 2025","","","",""
"","24330","Order Creation For Test Customer","Residual Solvents - Profile","Tue Jul 22 21:21:47 GMT 2025","passed","Tue Jul 22 21:22:11 GMT 2025","","","",""
"","28558","Set up materials for Cannabinoids worksheet","Cannabinoids - Profile","Tue Jul 22 21:13:32 GMT 2025","passed","Tue Jul 22 21:14:01 GMT 2025","","","",""
"","36668","Set Up Worksheet For Cannabinoids Sample","Cannabinoids - Profile","Tue Jul 22 21:12:55 GMT 2025","passed","Tue Jul 22 21:13:32 GMT 2025","","","",""
"","36514","Set Up Worksheet For Terpenes Sample","Terpenes - Profile","Tue Jul 22 21:18:17 GMT 2025","passed","Tue Jul 22 21:18:54 GMT 2025","","","",""
"","32226","Set up instruments for Residual Solvents worksheet","Residual Solvents - Profile","Tue Jul 22 21:24:43 GMT 2025","passed","Tue Jul 22 21:25:15 GMT 2025","","","",""
"","39954","Sample Creation For Cannabinoids Profile","Cannabinoids - Profile","Tue Jul 22 21:11:28 GMT 2025","passed","Tue Jul 22 21:12:08 GMT 2025","","","",""
"","28558","Set up materials for Residual Solvents worksheet","Residual Solvents - Profile","Tue Jul 22 21:24:14 GMT 2025","passed","Tue Jul 22 21:24:43 GMT 2025","","","",""
"","39801","Sample Creation For Terpenes Profile","Terpenes - Profile","Tue Jul 22 21:16:50 GMT 2025","passed","Tue Jul 22 21:17:30 GMT 2025","","","",""
"","24666","Verify Results in Cannabinoids worksheet","Cannabinoids - Profile","Tue Jul 22 21:15:24 GMT 2025","passed","Tue Jul 22 21:15:49 GMT 2025","","","",""
"","25480","Import Results for Moisture worksheet","Moisture - Profile","Tue Jul 22 21:30:30 GMT 2025","passed","Tue Jul 22 21:30:56 GMT 2025","","","",""
"","23549","Start Preparation for Moisture worksheet","Moisture - Profile","Tue Jul 22 21:30:07 GMT 2025","passed","Tue Jul 22 21:30:30 GMT 2025","","","",""
"","23809","Start Preparation for Terpenes worksheet","Terpenes - Profile","Tue Jul 22 21:19:54 GMT 2025","passed","Tue Jul 22 21:20:18 GMT 2025","","","",""
"","39884","Sample Creation For Residual Solvents Profile","Residual Solvents - Profile","Tue Jul 22 21:22:11 GMT 2025","passed","Tue Jul 22 21:22:51 GMT 2025","","","",""
"","24566","Verify Results in Terpenes worksheet","Terpenes - Profile","Tue Jul 22 21:20:45 GMT 2025","passed","Tue Jul 22 21:21:10 GMT 2025","","","",""
"","35303","Publish Moisture results","Moisture - Profile","Tue Jul 22 21:31:20 GMT 2025","passed","Tue Jul 22 21:31:55 GMT 2025","","","",""
"","36731","Set Up Worksheet For Residual Solvents Sample","Residual Solvents - Profile","Tue Jul 22 21:23:38 GMT 2025","passed","Tue Jul 22 21:24:14 GMT 2025","","","",""
"","23134","Receive Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Tue Jul 22 21:22:51 GMT 2025","passed","Tue Jul 22 21:23:14 GMT 2025","","","",""
"","23831","Start Preparation for Residual Solvents worksheet","Residual Solvents - Profile","Tue Jul 22 21:25:15 GMT 2025","passed","Tue Jul 22 21:25:39 GMT 2025","","","",""
"","23874","Start Preparation for Cannabinoids worksheet","Cannabinoids - Profile","Tue Jul 22 21:14:33 GMT 2025","passed","Tue Jul 22 21:14:57 GMT 2025","","","",""
"","27095","Import Results for Cannabinoids worksheet","Cannabinoids - Profile","Tue Jul 22 21:14:57 GMT 2025","passed","Tue Jul 22 21:15:24 GMT 2025","","","",""
"","31983","Set up instruments for Terpenes worksheet","Terpenes - Profile","Tue Jul 22 21:19:22 GMT 2025","passed","Tue Jul 22 21:19:54 GMT 2025","","","",""
"","35263","Publish Terpenes results","Terpenes - Profile","Tue Jul 22 21:21:10 GMT 2025","passed","Tue Jul 22 21:21:45 GMT 2025","","","",""
"","24603","Order Creation For Test Customer","Moisture - Profile","Tue Jul 22 21:27:07 GMT 2025","passed","Tue Jul 22 21:27:31 GMT 2025","","","",""
"","40153","Sample Creation For Moisture Profile","Moisture - Profile","Tue Jul 22 21:27:31 GMT 2025","passed","Tue Jul 22 21:28:12 GMT 2025","","","",""
"","25995","Import Results for Residual Solvents worksheet","Residual Solvents - Profile","Tue Jul 22 21:25:39 GMT 2025","passed","Tue Jul 22 21:26:05 GMT 2025","","","",""
"","23566","Accession Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Tue Jul 22 21:23:14 GMT 2025","passed","Tue Jul 22 21:23:38 GMT 2025","","","",""
"","24296","Accession Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Tue Jul 22 21:12:31 GMT 2025","passed","Tue Jul 22 21:12:55 GMT 2025","","","",""
"","23119","Receive Sample Partitions For Terpenes Profile","Terpenes - Profile","Tue Jul 22 21:17:30 GMT 2025","passed","Tue Jul 22 21:17:53 GMT 2025","","","",""
"","24412","Verify Results in Residual Solvents worksheet","Residual Solvents - Profile","Tue Jul 22 21:26:05 GMT 2025","passed","Tue Jul 22 21:26:29 GMT 2025","","","",""
"","35420","Publish Cannabinoids results","Cannabinoids - Profile","Tue Jul 22 21:15:49 GMT 2025","passed","Tue Jul 22 21:16:24 GMT 2025","","","",""
"","23076","Receive Sample Partitions For Moisture Profile","Moisture - Profile","Tue Jul 22 21:28:12 GMT 2025","passed","Tue Jul 22 21:28:35 GMT 2025","","","",""
"","27319","Import Results for Terpenes worksheet","Terpenes - Profile","Tue Jul 22 21:20:18 GMT 2025","passed","Tue Jul 22 21:20:45 GMT 2025","","","",""
"","31637","Set up instruments for Moisture worksheet","Moisture - Profile","Tue Jul 22 21:29:35 GMT 2025","passed","Tue Jul 22 21:30:07 GMT 2025","","","",""
"","23406","Accession Sample Partitions For Moisture Profile","Moisture - Profile","Tue Jul 22 21:28:35 GMT 2025","passed","Tue Jul 22 21:28:58 GMT 2025","","","",""
"","28487","Set up materials for Terpenes worksheet","Terpenes - Profile","Tue Jul 22 21:18:54 GMT 2025","passed","Tue Jul 22 21:19:22 GMT 2025","","","",""
"","32831","Order Creation For Test Customer","Cannabinoids - Profile","Tue Jul 22 21:10:55 GMT 2025","passed","Tue Jul 22 21:11:28 GMT 2025","","","",""
"","35820","Publish Residual Solvents results","Residual Solvents - Profile","Tue Jul 22 21:26:29 GMT 2025","passed","Tue Jul 22 21:27:05 GMT 2025","","","",""
"","36866","Set Up Worksheet For Moisture Sample","Moisture - Profile","Tue Jul 22 21:28:58 GMT 2025","passed","Tue Jul 22 21:29:35 GMT 2025","","","",""
"","23686","Accession Sample Partitions For Terpenes Profile","Terpenes - Profile","Tue Jul 22 21:17:53 GMT 2025","passed","Tue Jul 22 21:18:17 GMT 2025","","","",""
"","23119","Receive Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Tue Jul 22 21:12:08 GMT 2025","passed","Tue Jul 22 21:12:31 GMT 2025","","","",""
