"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","65274","Set up instruments for Residual Solvents worksheet","Residual Solvents - Profile","Fri Jul 25 18:29:01 GMT 2025","failed","Fri Jul 25 18:30:07 GMT 2025","","","",""
"","28374","Set up materials for Cannabinoids worksheet","Cannabinoids - Profile","Fri Jul 25 18:13:29 GMT 2025","passed","Fri Jul 25 18:13:58 GMT 2025","","","",""
"","103820","Set Up Worksheet For Residual Solvents Sample","Residual Solvents - Profile","Fri Jul 25 18:26:02 GMT 2025","failed","Fri Jul 25 18:27:46 GMT 2025","","","",""
"","39970","Sample Creation For Terpenes Profile","Terpenes - Profile","Fri Jul 25 18:16:46 GMT 2025","passed","Fri Jul 25 18:17:26 GMT 2025","","","",""
"","61864","Verify Results in Moisture worksheet","Moisture - Profile","Fri Jul 25 18:41:57 GMT 2025","failed","Fri Jul 25 18:42:59 GMT 2025","","","",""
"","32059","Set up instruments for Cannabinoids worksheet","Cannabinoids - Profile","Fri Jul 25 18:13:58 GMT 2025","passed","Fri Jul 25 18:14:30 GMT 2025","","","",""
"","77377","Set Up Worksheet For Moisture Sample","Moisture - Profile","Fri Jul 25 18:37:36 GMT 2025","failed","Fri Jul 25 18:38:53 GMT 2025","","","",""
"","23691","Start Preparation for Cannabinoids worksheet","Cannabinoids - Profile","Fri Jul 25 18:14:30 GMT 2025","passed","Fri Jul 25 18:14:53 GMT 2025","","","",""
"","23784","Start Preparation for Terpenes worksheet","Terpenes - Profile","Fri Jul 25 18:19:50 GMT 2025","passed","Fri Jul 25 18:20:14 GMT 2025","","","",""
"","54290","Receive Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Fri Jul 25 18:24:16 GMT 2025","failed","Fri Jul 25 18:25:10 GMT 2025","","","",""
"","35312","Publish Cannabinoids results","Cannabinoids - Profile","Fri Jul 25 18:15:44 GMT 2025","passed","Fri Jul 25 18:16:20 GMT 2025","","","",""
"","35243","Publish Terpenes results","Terpenes - Profile","Fri Jul 25 18:21:04 GMT 2025","passed","Fri Jul 25 18:21:40 GMT 2025","","","",""
"","24533","Order Creation For Test Customer","Residual Solvents - Profile","Fri Jul 25 18:21:41 GMT 2025","passed","Fri Jul 25 18:22:06 GMT 2025","","","",""
"","67000","Accession Sample Partitions For Moisture Profile","Moisture - Profile","Fri Jul 25 18:36:29 GMT 2025","failed","Fri Jul 25 18:37:36 GMT 2025","","","",""
"","23066","Receive Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Fri Jul 25 18:12:06 GMT 2025","passed","Fri Jul 25 18:12:29 GMT 2025","","","",""
"","26367","Import Results for Terpenes worksheet","Terpenes - Profile","Fri Jul 25 18:20:14 GMT 2025","passed","Fri Jul 25 18:20:40 GMT 2025","","","",""
"","32158","Set up instruments for Terpenes worksheet","Terpenes - Profile","Fri Jul 25 18:19:18 GMT 2025","passed","Fri Jul 25 18:19:50 GMT 2025","","","",""
"","62151","Import Results for Residual Solvents worksheet","Residual Solvents - Profile","Fri Jul 25 18:31:08 GMT 2025","failed","Fri Jul 25 18:32:11 GMT 2025","","","",""
"","61686","Start Preparation for Moisture worksheet","Moisture - Profile","Fri Jul 25 18:39:54 GMT 2025","failed","Fri Jul 25 18:40:56 GMT 2025","","","",""
"","130043","Sample Creation For Residual Solvents Profile","Residual Solvents - Profile","Fri Jul 25 18:22:06 GMT 2025","failed","Fri Jul 25 18:24:16 GMT 2025","","","",""
"","52050","Accession Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Fri Jul 25 18:25:10 GMT 2025","failed","Fri Jul 25 18:26:02 GMT 2025","","","",""
"","61635","Import Results for Moisture worksheet","Moisture - Profile","Fri Jul 25 18:40:56 GMT 2025","failed","Fri Jul 25 18:41:57 GMT 2025","","","",""
"","23272","Receive Sample Partitions For Terpenes Profile","Terpenes - Profile","Fri Jul 25 18:17:26 GMT 2025","passed","Fri Jul 25 18:17:49 GMT 2025","","","",""
"","87706","Sample Creation For Moisture Profile","Moisture - Profile","Fri Jul 25 18:33:54 GMT 2025","failed","Fri Jul 25 18:35:22 GMT 2025","","","",""
"","67859","Publish Moisture results","Moisture - Profile","Fri Jul 25 18:42:59 GMT 2025","failed","Fri Jul 25 18:44:07 GMT 2025","","","",""
"","23686","Accession Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Fri Jul 25 18:12:29 GMT 2025","passed","Fri Jul 25 18:12:52 GMT 2025","","","",""
"","28531","Set up materials for Terpenes worksheet","Terpenes - Profile","Fri Jul 25 18:18:49 GMT 2025","passed","Fri Jul 25 18:19:18 GMT 2025","","","",""
"","24316","Verify Results in Terpenes worksheet","Terpenes - Profile","Fri Jul 25 18:20:40 GMT 2025","passed","Fri Jul 25 18:21:04 GMT 2025","","","",""
"","32373","Order Creation For Test Customer","Cannabinoids - Profile","Fri Jul 25 18:10:53 GMT 2025","passed","Fri Jul 25 18:11:26 GMT 2025","","","",""
