"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55281","Set up instruments for Terpenes worksheet","Terpenes - Profile","Mon Oct 20 20:25:31 UTC 2025","failed","Mon Oct 20 20:26:26 UTC 2025","","","",""
"","55260","Import Results for Cannabinoids worksheet","Cannabinoids - Profile","Mon Oct 20 20:17:11 UTC 2025","failed","Mon Oct 20 20:18:06 UTC 2025","","","",""
"","55286","Set Up Worksheet For Moisture Sample","Moisture - Profile","Mon Oct 20 20:43:59 UTC 2025","failed","Mon Oct 20 20:44:55 UTC 2025","","","",""
"","55316","Verify Results in Cannabinoids worksheet","Cannabinoids - Profile","Mon Oct 20 20:18:06 UTC 2025","failed","Mon Oct 20 20:19:02 UTC 2025","","","",""
"","55283","Start Preparation for Terpenes worksheet","Terpenes - Profile","Mon Oct 20 20:26:26 UTC 2025","failed","Mon Oct 20 20:27:21 UTC 2025","","","",""
"","55283","Import Results for Moisture worksheet","Moisture - Profile","Mon Oct 20 20:46:45 UTC 2025","failed","Mon Oct 20 20:47:40 UTC 2025","","","",""
"","55296","Order Creation For Test Customer","Terpenes - Profile","Mon Oct 20 20:19:59 UTC 2025","failed","Mon Oct 20 20:20:54 UTC 2025","","","",""
"","55259","Set up instruments for Moisture worksheet","Moisture - Profile","Mon Oct 20 20:44:55 UTC 2025","failed","Mon Oct 20 20:45:50 UTC 2025","","","",""
"","55281","Verify Results in Terpenes worksheet","Terpenes - Profile","Mon Oct 20 20:28:17 UTC 2025","failed","Mon Oct 20 20:29:12 UTC 2025","","","",""
"","55297","Import Results for Terpenes worksheet","Terpenes - Profile","Mon Oct 20 20:27:21 UTC 2025","failed","Mon Oct 20 20:28:17 UTC 2025","","","",""
"","55435","Order Creation For Test Customer","Cannabinoids - Profile","Mon Oct 20 20:09:49 UTC 2025","failed","Mon Oct 20 20:10:44 UTC 2025","","","",""
"","55265","Receive Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Mon Oct 20 20:31:59 UTC 2025","failed","Mon Oct 20 20:32:55 UTC 2025","","","",""
"","55261","Set Up Worksheet For Cannabinoids Sample","Cannabinoids - Profile","Mon Oct 20 20:13:30 UTC 2025","failed","Mon Oct 20 20:14:25 UTC 2025","","","",""
"","55351","Publish Cannabinoids results","Cannabinoids - Profile","Mon Oct 20 20:19:02 UTC 2025","failed","Mon Oct 20 20:19:57 UTC 2025","","","",""
"","55278","Publish Residual Solvents results","Residual Solvents - Profile","Mon Oct 20 20:39:21 UTC 2025","failed","Mon Oct 20 20:40:17 UTC 2025","","","",""
"","55305","Sample Creation For Terpenes Profile","Terpenes - Profile","Mon Oct 20 20:20:54 UTC 2025","failed","Mon Oct 20 20:21:50 UTC 2025","","","",""
