"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26176","Import Results for Terpenes worksheet","Terpenes - Profile","Wed Jul 23 14:47:04 GMT 2025","passed","Wed Jul 23 14:47:30 GMT 2025","","","",""
"","23474","Accession Sample Partitions For Moisture Profile","Moisture - Profile","Wed Jul 23 14:55:20 GMT 2025","passed","Wed Jul 23 14:55:43 GMT 2025","","","",""
"","28844","Set up materials for Terpenes worksheet","Terpenes - Profile","Wed Jul 23 14:45:39 GMT 2025","passed","Wed Jul 23 14:46:08 GMT 2025","","","",""
"","26632","Import Results for Cannabinoids worksheet","Cannabinoids - Profile","Wed Jul 23 14:41:42 GMT 2025","passed","Wed Jul 23 14:42:09 GMT 2025","","","",""
"","24383","Verify Results in Moisture worksheet","Moisture - Profile","Wed Jul 23 14:57:42 GMT 2025","passed","Wed Jul 23 14:58:06 GMT 2025","","","",""
"","24825","Verify Results in Residual Solvents worksheet","Residual Solvents - Profile","Wed Jul 23 14:52:50 GMT 2025","passed","Wed Jul 23 14:53:15 GMT 2025","","","",""
"","35402","Publish Residual Solvents results","Residual Solvents - Profile","Wed Jul 23 14:53:15 GMT 2025","passed","Wed Jul 23 14:53:50 GMT 2025","","","",""
"","25920","Import Results for Moisture worksheet","Moisture - Profile","Wed Jul 23 14:57:16 GMT 2025","passed","Wed Jul 23 14:57:42 GMT 2025","","","",""
"","23355","Receive Sample Partitions For Terpenes Profile","Terpenes - Profile","Wed Jul 23 14:44:16 GMT 2025","passed","Wed Jul 23 14:44:39 GMT 2025","","","",""
"","23229","Receive Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Wed Jul 23 14:49:36 GMT 2025","passed","Wed Jul 23 14:50:00 GMT 2025","","","",""
"","23973","Start Preparation for Cannabinoids worksheet","Cannabinoids - Profile","Wed Jul 23 14:41:18 GMT 2025","passed","Wed Jul 23 14:41:42 GMT 2025","","","",""
"","40441","Sample Creation For Terpenes Profile","Terpenes - Profile","Wed Jul 23 14:43:35 GMT 2025","passed","Wed Jul 23 14:44:16 GMT 2025","","","",""
"","23980","Start Preparation for Moisture worksheet","Moisture - Profile","Wed Jul 23 14:56:52 GMT 2025","passed","Wed Jul 23 14:57:16 GMT 2025","","","",""
"","23888","Accession Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Wed Jul 23 14:39:16 GMT 2025","passed","Wed Jul 23 14:39:39 GMT 2025","","","",""
"","40115","Sample Creation For Residual Solvents Profile","Residual Solvents - Profile","Wed Jul 23 14:48:56 GMT 2025","passed","Wed Jul 23 14:49:36 GMT 2025","","","",""
"","32137","Set up instruments for Residual Solvents worksheet","Residual Solvents - Profile","Wed Jul 23 14:51:28 GMT 2025","passed","Wed Jul 23 14:52:00 GMT 2025","","","",""
"","40284","Sample Creation For Cannabinoids Profile","Cannabinoids - Profile","Wed Jul 23 14:38:12 GMT 2025","passed","Wed Jul 23 14:38:52 GMT 2025","","","",""
"","23697","Start Preparation for Terpenes worksheet","Terpenes - Profile","Wed Jul 23 14:46:40 GMT 2025","passed","Wed Jul 23 14:47:04 GMT 2025","","","",""
"","32168","Set up instruments for Terpenes worksheet","Terpenes - Profile","Wed Jul 23 14:46:08 GMT 2025","passed","Wed Jul 23 14:46:40 GMT 2025","","","",""
"","23651","Start Preparation for Residual Solvents worksheet","Residual Solvents - Profile","Wed Jul 23 14:52:00 GMT 2025","passed","Wed Jul 23 14:52:24 GMT 2025","","","",""
"","35213","Publish Terpenes results","Terpenes - Profile","Wed Jul 23 14:47:55 GMT 2025","passed","Wed Jul 23 14:48:30 GMT 2025","","","",""
"","23209","Receive Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Wed Jul 23 14:38:52 GMT 2025","passed","Wed Jul 23 14:39:16 GMT 2025","","","",""
"","23580","Accession Sample Partitions For Terpenes Profile","Terpenes - Profile","Wed Jul 23 14:44:39 GMT 2025","passed","Wed Jul 23 14:45:03 GMT 2025","","","",""
"","24796","Verify Results in Terpenes worksheet","Terpenes - Profile","Wed Jul 23 14:47:30 GMT 2025","passed","Wed Jul 23 14:47:55 GMT 2025","","","",""
"","35284","Publish Moisture results","Moisture - Profile","Wed Jul 23 14:58:06 GMT 2025","passed","Wed Jul 23 14:58:41 GMT 2025","","","",""
"","36791","Set Up Worksheet For Terpenes Sample","Terpenes - Profile","Wed Jul 23 14:45:03 GMT 2025","passed","Wed Jul 23 14:45:39 GMT 2025","","","",""
"","32835","Order Creation For Test Customer","Cannabinoids - Profile","Wed Jul 23 14:37:39 GMT 2025","passed","Wed Jul 23 14:38:12 GMT 2025","","","",""
"","24428","Order Creation For Test Customer","Moisture - Profile","Wed Jul 23 14:53:52 GMT 2025","passed","Wed Jul 23 14:54:16 GMT 2025","","","",""
"","36722","Set Up Worksheet For Moisture Sample","Moisture - Profile","Wed Jul 23 14:55:43 GMT 2025","passed","Wed Jul 23 14:56:20 GMT 2025","","","",""
"","28769","Set up materials for Cannabinoids worksheet","Cannabinoids - Profile","Wed Jul 23 14:40:16 GMT 2025","passed","Wed Jul 23 14:40:45 GMT 2025","","","",""
"","32701","Set up instruments for Cannabinoids worksheet","Cannabinoids - Profile","Wed Jul 23 14:40:45 GMT 2025","passed","Wed Jul 23 14:41:18 GMT 2025","","","",""
"","24284","Order Creation For Test Customer","Residual Solvents - Profile","Wed Jul 23 14:48:32 GMT 2025","passed","Wed Jul 23 14:48:56 GMT 2025","","","",""
"","23745","Accession Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Wed Jul 23 14:50:00 GMT 2025","passed","Wed Jul 23 14:50:23 GMT 2025","","","",""
"","36772","Set Up Worksheet For Residual Solvents Sample","Residual Solvents - Profile","Wed Jul 23 14:50:23 GMT 2025","passed","Wed Jul 23 14:51:00 GMT 2025","","","",""
"","28271","Set up materials for Residual Solvents worksheet","Residual Solvents - Profile","Wed Jul 23 14:51:00 GMT 2025","passed","Wed Jul 23 14:51:28 GMT 2025","","","",""
"","24688","Order Creation For Test Customer","Terpenes - Profile","Wed Jul 23 14:43:10 GMT 2025","passed","Wed Jul 23 14:43:35 GMT 2025","","","",""
"","24244","Verify Results in Cannabinoids worksheet","Cannabinoids - Profile","Wed Jul 23 14:42:09 GMT 2025","passed","Wed Jul 23 14:42:33 GMT 2025","","","",""
"","40105","Sample Creation For Moisture Profile","Moisture - Profile","Wed Jul 23 14:54:16 GMT 2025","passed","Wed Jul 23 14:54:56 GMT 2025","","","",""
"","32041","Set up instruments for Moisture worksheet","Moisture - Profile","Wed Jul 23 14:56:20 GMT 2025","passed","Wed Jul 23 14:56:52 GMT 2025","","","",""
"","23152","Receive Sample Partitions For Moisture Profile","Moisture - Profile","Wed Jul 23 14:54:56 GMT 2025","passed","Wed Jul 23 14:55:20 GMT 2025","","","",""
"","25909","Import Results for Residual Solvents worksheet","Residual Solvents - Profile","Wed Jul 23 14:52:24 GMT 2025","passed","Wed Jul 23 14:52:50 GMT 2025","","","",""
"","37051","Set Up Worksheet For Cannabinoids Sample","Cannabinoids - Profile","Wed Jul 23 14:39:39 GMT 2025","passed","Wed Jul 23 14:40:16 GMT 2025","","","",""
