"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35591","Publish Terpenes results","Terpenes - Profile","Wed Jul 23 03:13:29 GMT 2025","passed","Wed Jul 23 03:14:05 GMT 2025","","","",""
"","25993","Import Results for Residual Solvents worksheet","Residual Solvents - Profile","Wed Jul 23 03:17:58 GMT 2025","passed","Wed Jul 23 03:18:24 GMT 2025","","","",""
"","23080","Receive Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Wed Jul 23 03:15:11 GMT 2025","passed","Wed Jul 23 03:15:34 GMT 2025","","","",""
"","23802","Start Preparation for Cannabinoids worksheet","Cannabinoids - Profile","Wed Jul 23 03:06:51 GMT 2025","passed","Wed Jul 23 03:07:14 GMT 2025","","","",""
"","23810","Accession Sample Partitions For Terpenes Profile","Terpenes - Profile","Wed Jul 23 03:10:13 GMT 2025","passed","Wed Jul 23 03:10:37 GMT 2025","","","",""
"","40002","Sample Creation For Residual Solvents Profile","Residual Solvents - Profile","Wed Jul 23 03:14:31 GMT 2025","passed","Wed Jul 23 03:15:11 GMT 2025","","","",""
"","33676","Order Creation For Test Customer","Cannabinoids - Profile","Wed Jul 23 03:03:10 GMT 2025","passed","Wed Jul 23 03:03:44 GMT 2025","","","",""
"","35405","Publish Residual Solvents results","Residual Solvents - Profile","Wed Jul 23 03:18:48 GMT 2025","passed","Wed Jul 23 03:19:23 GMT 2025","","","",""
"","32165","Set up instruments for Moisture worksheet","Moisture - Profile","Wed Jul 23 03:21:52 GMT 2025","passed","Wed Jul 23 03:22:25 GMT 2025","","","",""
"","24432","Order Creation For Test Customer","Terpenes - Profile","Wed Jul 23 03:08:45 GMT 2025","passed","Wed Jul 23 03:09:10 GMT 2025","","","",""
"","23782","Receive Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Wed Jul 23 03:04:24 GMT 2025","passed","Wed Jul 23 03:04:48 GMT 2025","","","",""
"","24664","Accession Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Wed Jul 23 03:04:48 GMT 2025","passed","Wed Jul 23 03:05:12 GMT 2025","","","",""
"","40053","Sample Creation For Moisture Profile","Moisture - Profile","Wed Jul 23 03:19:49 GMT 2025","passed","Wed Jul 23 03:20:29 GMT 2025","","","",""
"","24375","Order Creation For Test Customer","Moisture - Profile","Wed Jul 23 03:19:25 GMT 2025","passed","Wed Jul 23 03:19:49 GMT 2025","","","",""
"","32619","Set up instruments for Cannabinoids worksheet","Cannabinoids - Profile","Wed Jul 23 03:06:18 GMT 2025","passed","Wed Jul 23 03:06:51 GMT 2025","","","",""
"","39967","Sample Creation For Terpenes Profile","Terpenes - Profile","Wed Jul 23 03:09:10 GMT 2025","passed","Wed Jul 23 03:09:50 GMT 2025","","","",""
"","25546","Import Results for Moisture worksheet","Moisture - Profile","Wed Jul 23 03:22:48 GMT 2025","passed","Wed Jul 23 03:23:14 GMT 2025","","","",""
"","35516","Publish Cannabinoids results","Cannabinoids - Profile","Wed Jul 23 03:08:08 GMT 2025","passed","Wed Jul 23 03:08:44 GMT 2025","","","",""
"","28247","Set up materials for Terpenes worksheet","Terpenes - Profile","Wed Jul 23 03:11:14 GMT 2025","passed","Wed Jul 23 03:11:42 GMT 2025","","","",""
"","32095","Set up instruments for Terpenes worksheet","Terpenes - Profile","Wed Jul 23 03:11:42 GMT 2025","passed","Wed Jul 23 03:12:14 GMT 2025","","","",""
"","24169","Verify Results in Terpenes worksheet","Terpenes - Profile","Wed Jul 23 03:13:05 GMT 2025","passed","Wed Jul 23 03:13:29 GMT 2025","","","",""
