"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55264","Set up instruments for Cannabinoids worksheet","Cannabinoids - Profile","Mon Oct 20 23:04:35 UTC 2025","failed","Mon Oct 20 23:05:30 UTC 2025","","","",""
"","55296","Set up materials for Residual Solvents worksheet","Residual Solvents - Profile","Mon Oct 20 23:24:00 UTC 2025","failed","Mon Oct 20 23:24:55 UTC 2025","","","",""
"","55285","Import Results for Cannabinoids worksheet","Cannabinoids - Profile","Mon Oct 20 23:06:25 UTC 2025","failed","Mon Oct 20 23:07:21 UTC 2025","","","",""
"","55311","Order Creation For Test Customer","Moisture - Profile","Mon Oct 20 23:29:33 UTC 2025","failed","Mon Oct 20 23:30:28 UTC 2025","","","",""
"","55259","Publish Terpenes results","Terpenes - Profile","Mon Oct 20 23:18:27 UTC 2025","failed","Mon Oct 20 23:19:22 UTC 2025","","","",""
"","55303","Order Creation For Test Customer","Terpenes - Profile","Mon Oct 20 23:09:14 UTC 2025","failed","Mon Oct 20 23:10:09 UTC 2025","","","",""
"","55298","Accession Sample Partitions For Terpenes Profile","Terpenes - Profile","Mon Oct 20 23:12:00 UTC 2025","failed","Mon Oct 20 23:12:55 UTC 2025","","","",""
"","55265","Receive Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Mon Oct 20 23:21:14 UTC 2025","failed","Mon Oct 20 23:22:09 UTC 2025","","","",""
"","55256","Sample Creation For Residual Solvents Profile","Residual Solvents - Profile","Mon Oct 20 23:20:19 UTC 2025","failed","Mon Oct 20 23:21:14 UTC 2025","","","",""
"","55423","Order Creation For Test Customer","Cannabinoids - Profile","Mon Oct 20 22:59:03 UTC 2025","failed","Mon Oct 20 22:59:59 UTC 2025","","","",""
"","55280","Set up materials for Terpenes worksheet","Terpenes - Profile","Mon Oct 20 23:13:50 UTC 2025","failed","Mon Oct 20 23:14:45 UTC 2025","","","",""
"","55249","Start Preparation for Residual Solvents worksheet","Residual Solvents - Profile","Mon Oct 20 23:25:50 UTC 2025","failed","Mon Oct 20 23:26:45 UTC 2025","","","",""
"","55263","Accession Sample Partitions For Residual Solvents Profile","Residual Solvents - Profile","Mon Oct 20 23:22:09 UTC 2025","failed","Mon Oct 20 23:23:04 UTC 2025","","","",""
"","55274","Publish Moisture results","Moisture - Profile","Mon Oct 20 23:37:50 UTC 2025","failed","Mon Oct 20 23:38:46 UTC 2025","","","",""
"","55249","Accession Sample Partitions For Cannabinoids Profile","Cannabinoids - Profile","Mon Oct 20 23:01:49 UTC 2025","failed","Mon Oct 20 23:02:44 UTC 2025","","","",""
"","55266","Import Results for Residual Solvents worksheet","Residual Solvents - Profile","Mon Oct 20 23:26:45 UTC 2025","failed","Mon Oct 20 23:27:41 UTC 2025","","","",""
